5/12/2009,,,,,,,
mosquito,site1,site2,site3,site4,site5,site6,code
Aedes albopictus,,,3,,,,2
A. aegypti,,,,,,,3
A. vexans,,,,,,,1
Ochlerotatus atlanticus,118,72,13,15,13,278,9
O. dupreei,,,,,,,18
O. fulvus pallens,,,,,,,8
O. infirmatus,72,48,27,8,21,364,7
O.  mitchellae,,,,,,,6
O. solicitans,,,,,,,15
O.  taeniorhynchus,,,,,,,5
O.  triseriatus,,,,,,,14
Anopheles crucians,,12,4,,,127,34
A. quadrimaculatus,,,,,,,31
Culex  erraticus,10,15,7,,,,25
C. nigrapalpus,,,,2,5,78,42
C.  quinquefasciatus,,,,,,,27
C. restuans,,,,,,,21
C.  salinarius,,,,1,,,23
Culiseta  inornata,,,,,,,40
Culiseta  melanura,22,23,,,,,41
Coquillettidia  perturbans,,,,,,,60
Mansonia  titillans,,,,,,,47
M. dyari,,,,,,,48
Psorophora  ciliata,2,,,,1,8,51
P. columbiae,,,,,,,50
P. ferox,16,,5,3,3,42,52
P. howardii,,,,,,,54
Toxorhynchites rutilus,,,,,,,88
Uranotaenia  sapphirina,,,,,,,70
U.  lowii,,,,,,,71
Wyeomyia  mitchellii,,,,,,,80
W.  vanduzeei,,,,,,,82
