6/27/2012,,,,,,,
mosquito,site1,site2,site3,site4,site5,site6,code
Aedes albopictus,,,,,1,,2
A. aegypti,,,,,,,3
A. vexans,,,,,,,1
Ochlerotatus atlanticus,12,5,,16,1,6,9
O. dupreei,,,,,,,18
O. fulvus pallens,,,,,,,8
O. infirmatus,17,12,,5,7,17,7
O.  mitchellae,,,,,,,6
O. solicitans,,,,,,,15
O.  taeniorhynchus,,,,,,,5
O.  triseriatus,,,,,,,14
Anopheles crucians,5,,,1,,5,34
A. quadrimaculatus,,,,,,,31
Culex  erraticus,8,1,,13,6,37,25
C. nigrapalpus,35,31,7,37,15,115,42
C.  quinquefasciatus,,,,,,,27
C. restuans,,,,,,,21
C.  salinarius,,,,,,,23
Culiseta  inornata,,,,,,,40
Culiseta  melanura,,,,,,,41
Coquillettidia  perturbans,1,,,,,,60
Mansonia  titillans,,,,,,,47
M. dyari,,,,,,,48
Psorophora  ciliata,,2,1,,,,51
P. columbiae,,,,,,,50
P. ferox,,,,,,,52
P. howardii,,,,,,,54
Toxorhynchites rutilus,,,,,,,88
Uranotaenia  sapphirina,,,,,,,70
U.  lowii,,,,,,,71
Wyeomyia  mitchellii,,,,,,,80
W.  vanduzeei,,,,,,,82
