7/20/2010,,,,,,,
mosquito,site1,site2,site3,site4,site5,site6,code
Aedes albopictus,7,,,,2,,2
A. aegypti,,,,,,,3
A. vexans,,,,,,,1
Ochlerotatus atlanticus,269,245,13,9,4,99,9
O. dupreei,,,,,,,18
O. fulvus pallens,,,,,,,8
O. infirmatus,156,291,26,2,,112,7
O.  mitchellae,,,,,,,6
O. solicitans,,,,,,,15
O.  taeniorhynchus,,,,,,,5
O.  triseriatus,,,,,,,14
Anopheles crucians,127,,12,18,9,,34
A. quadrimaculatus,,,,,,3,31
Culex  erraticus,49,33,,,,,25
C. nigrapalpus,266,127,,,26,115,42
C.  quinquefasciatus,,,,,,,27
C. restuans,,,,,,,21
C.  salinarius,,,,,,,23
Culiseta  inornata,,,,,,,40
Culiseta  melanura,,,,,,,41
Coquillettidia  perturbans,,,,,,,60
Mansonia  titillans,,,,,,,47
M. dyari,,,,,,,48
Psorophora  ciliata,,1,,,,,51
P. columbiae,,,,,,,50
P. ferox,,,32,29,,,52
P. howardii,,,,,,,54
Toxorhynchites rutilus,,,,,,,88
Uranotaenia  sapphirina,,,,,,,70
U.  lowii,,,,,,,71
Wyeomyia  mitchellii,,,,,,,80
W.  vanduzeei,,,,,,,82
