9/28/2011,,,,,,,
mosquito,site1,site2,site3,site4,site5,site6,code
Aedes albopictus,,,,1,1,,2
A. aegypti,,,,,,,3
A. vexans,,,,,,,1
Ochlerotatus atlanticus,9,18,35,2,1,159,9
O. dupreei,,,,,,,18
O. fulvus pallens,,,,,,,8
O. infirmatus,7,12,79,1,3,121,7
O.  mitchellae,,,,,,,6
O. solicitans,,,,,,,15
O.  taeniorhynchus,,,,,,,5
O.  triseriatus,,,,,,,14
Anopheles crucians,,7,,,3,12,34
A. quadrimaculatus,,,,,,,31
Culex  erraticus,3,,13,,2,17,25
C. nigrapalpus,12,17,94,4,1,137,42
C.  quinquefasciatus,,,,,,,27
C. restuans,,,,,,,21
C.  salinarius,,,,,,,23
Culiseta  inornata,,,,,,,40
Culiseta  melanura,,,,,,,41
Coquillettidia  perturbans,,,,,,,60
Mansonia  titillans,,,,,,,47
M. dyari,,,,,,,48
Psorophora  ciliata,,,,,,1,51
P. columbiae,,3,,,,,50
P. ferox,,,6,2,,5,52
P. howardii,,,,,,,54
Toxorhynchites rutilus,,,,,,,88
Uranotaenia  sapphirina,,,,,,,70
U.  lowii,,,,,,,71
Wyeomyia  mitchellii,,,,,,,80
W.  vanduzeei,,,,,,,82
