7/13/2010,,,,,,,
mosquito,site1,site2,site3,site4,site5,site6,code
Aedes albopictus,,,4,,1,,2
A. aegypti,,,,,,,3
A. vexans,,,,,,,1
Ochlerotatus atlanticus,37,45,27,22,1,226,9
O. dupreei,,,,,,,18
O. fulvus pallens,,,,,,15,8
O. infirmatus,49,33,58,35,3,115,7
O.  mitchellae,,,,,,,6
O. solicitans,,,,,,,15
O.  taeniorhynchus,,,,,,,5
O.  triseriatus,,,,,,,14
Anopheles crucians,32,19,25,,,73,34
A. quadrimaculatus,,,,,,,31
Culex  erraticus,,,13,19,,59,25
C. nigrapalpus,29,43,62,39,2,375,42
C.  quinquefasciatus,,,,,,,27
C. restuans,,,,,,,21
C.  salinarius,,,,,,,23
Culiseta  inornata,,,,,,,40
Culiseta  melanura,,,,,,,41
Coquillettidia  perturbans,,,,,,,60
Mansonia  titillans,,,,,,,47
M. dyari,,,,,,,48
Psorophora  ciliata,3,,,,,,51
P. columbiae,,,,,1,,50
P. ferox,8,,,3,,17,52
P. howardii,,,,,,,54
Toxorhynchites rutilus,,,,,,,88
Uranotaenia  sapphirina,,,,,,,70
U.  lowii,,,,,,,71
Wyeomyia  mitchellii,,,,,,,80
W.  vanduzeei,,,,,,,82
