7/22/2014,,,,,,,,,,,
mosquito,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,code
Aedes albopictus,,,,,2,,,,,,2
A. aegypti,,,,,,,,,,,3
A. vexans,,,,,,,,,,,1
Ochlerotatus atlanticus,,,,,,,,,,,9
O. dupreei,,,,,,,,,,,18
O. fulvus pallens,,,,,,,,,,,8
O. infirmatus,6,6,,3,,3,1,20,14,6,7
O.  mitchellae,,,,,,,,,,,6
O. sollicitans,,,,,,,,,,,15
O.  taeniorhynchus,,,,,,,,,,,5
O.  triseriatus,,,,,,,,,,,14
Anopheles crucians,66,24,7,,,,2,86,52,48,34
A. quadrimaculatus,,,,,,,,,,,31
Culex  erraticus,24,22,2,,,2,4,46,38,8,25
C. nigripalpus,38,40,10,,1,3,10,82,72,40,42
C.  quinquefasciatus,,,,,,,,,,,27
C. restuans,,,,,,,,,,,21
C.  salinarius,,,,,,,,,,,23
Culiseta  inornata,,,,,,,,,,,40
Culiseta  melanura,,,,,,,,6,4,,41
Coquillettidia  perturbans,28,24,,,,,4,62,54,32,60
Mansonia  titillans,,,,,,,,,,,47
M. dyari,10,,1,,1,,3,34,46,,48
Psorophora  ciliata,,,,,,,,,,,51
P. columbiae,,10,44,,,8,,28,18,,50
P. ferox,,,,1,,2,,,12,16,52
P. howardii,,,,,,,,,,,54
Toxorhynchites rutilus,,,,,,,,,,,88
Uranotaenia  sapphirina,,,,,,,,6,,,70
U.  lowii,,,2,,,,,8,,,71
Wyeomyia  mitchellii,,,,,,,,,,,80
W.  vanduzeei,,,,,,,,,,,82
Other (Cx coronator),,,,,,,,,,,100
