8/5/2014,,,,,,,,,,,,,,,,,,,,
mosquito,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,code,,,,,,,,,
Aedes albopictus,4,,3,1,,4,,,,,2,,,,,,,,,
A. aegypti,,,,,,,,,,,3,,,,,,,,,
A. vexans,,,,,,,,,,,1,,,,,,,,,
Ochlerotatus atlanticus,,,,,,,,,,,9,,,,,,,,,
O. dupreei,,,,,,,,,,,18,,,,,,,,,
O. fulvus pallens,,,,,,8,,,,3,8,,,,,,,,,
O. infirmatus,28,3,,2,2,80,,,,1,7,,,,,,,,,
O.  mitchellae,,,,,,,,,,,6,,,,,,,,,
O. sollicitans,,,,,,,,,,,15,,,,,,,,,
O.  taeniorhynchus,,,,,,,,,,,5,,,,,,,,,
O.  triseriatus,,,,,,,,,,,14,,,,,,,,,
Anopheles crucians,56,,,,,76,,256,64,48,34,,,,,,,,,
A. quadrimaculatus,,,,,,,,,,,31,,,,,,,,,
Culex  erraticus,,4,,,,,,,,,25,,,,,,,,,
C. nigripalpus,84,7,11,,1,108,20,64,832,8,42,,,,,,,,,
C.  quinquefasciatus,,,,,,,,,,,27,,,,,,,,,
C. restuans,,,,,,,,,,,21,,,,,,,,,
C.  salinarius,,,,,,,,,,,23,,,,,,,,,
Culiseta  inornata,,,,,,,,,,,40,,,,,,,,,
Culiseta  melanura,28,,,,,,,,,,41,,,,,,,,,
Coquillettidia  perturbans,16,,,,,16,,624,480,,60,,,,,,,,,
Mansonia  titillans,,,,,,,,,,,47,,,,,,,,,
M. dyari,,,1,,,,21,336,384,2,48,,,,,,,,,
Psorophora  ciliata,,,,,,,,,,,51,,,,,,,,,
P. columbiae,4,,,,,16,,,,4,50,,,,,,,,,
P. ferox,4,,1,1,2,32,,,,,52,,,,,,,,,
P. howardii,,,,,,,,,,,54,,,,,,,,,
Toxorhynchites rutilus,,,,,,,,,,,88,,,,,,,,,
Uranotaenia  sapphirina,60,7,2,,,40,7,336,320,9,70,,,,,,,,,
U.  lowii,40,,,,,28,,,,2,71,,,,,,,,,
Wyeomyia  mitchellii,,,,,,,,,,,80,,,,,,,,,
W.  vanduzeei,,,,,,,,,,,82,,,,,,,,,
