4/1/2008,,,,,,,
mosquito,site1,site2,site3,site4,site5,site6,code
Aedes albopictus,,,,,,,2
A. aegypti,,,,,,,3
A. vexans,,,,,,,1
Ochlerotatus atlanticus,192,86,98,156,21,186,9
O. dupreei,,,,,,,18
O. fulvus pallens,,,,,,,8
O. infirmatus,224,112,121,238,36,362,7
O.  mitchellae,,,,,,,6
O. solicitans,,,,,,,15
O.  taeniorhynchus,,,,,,,5
O.  triseriatus,,,,,,,14
Anopheles crucians,80,62,,,,92,34
A. quadrimaculatus,,,,,,,31
Culex  erraticus,54,,,38,,73,25
C. nigrapalpus,49,37,14,24,,63,42
C.  quinquefasciatus,,,,,,,27
C. restuans,,,,,,,21
C.  salinarius,58,60,28,46,12,82,23
Culiseta  inornata,,,,,,,40
Culiseta  melanura,240,184,56,,15,153,41
Coquillettidia  perturbans,,,,,,,60
Mansonia  titillans,,,,,,,47
M. dyari,,,,,,,48
Psorophora  ciliata,,,,,,,51
P. columbiae,,,,,,,50
P. ferox,,,,15,3,48,52
P. howardii,,,,,,,54
Toxorhynchites rutilus,,,,,,,88
Uranotaenia  sapphirina,,,,,,,70
U.  lowii,,,,,,,71
Wyeomyia  mitchellii,,,,,,,80
W.  vanduzeei,,,,,,,82
