6/17/2014,,,,,,,,,,,
mosquito,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,code
Aedes albopictus,,,,,1,,,,,1,2
A. aegypti,,,,,,,,,,,3
A. vexans,,,,,,,,,,,1
Ochlerotatus atlanticus,,,,,,,,,,,9
O. dupreei,,,,,,,,,,,18
O. fulvus pallens,,,,,,,,,,,8
O. infirmatus,,,,,,2,,,,13,7
O.  mitchellae,,,,,,,,,,,6
O. sollicitans,,,,,,,,,,,15
O.  taeniorhynchus,,,,,,,,,,,5
O.  triseriatus,,,,,,,,,,,14
Anopheles crucians,65,,2,,,4,,296,10,22,34
A. quadrimaculatus,,,,,,,,,,,31
Culex  erraticus,37,2,2,,,2,6,12,48,5,25
C. nigripalpus,90,20,6,,3,14,20,68,126,12,42
C.  quinquefasciatus,,,,,,,,,,,27
C. restuans,,,,,,,,,,,21
C.  salinarius,,,,,,,,,,,23
Culiseta  inornata,,,,,,,,,,,40
Culiseta  melanura,2,,,,,,,,,,41
Coquillettidia  perturbans,2,,,,1,,18,128,12,4,60
Mansonia  titillans,,,,,,,,,,,47
M. dyari,,,,,,,2,12,8,,48
Psorophora  ciliata,,,,,,,,,,,51
P. columbiae,4,,1,,,1,,4,,1,50
P. ferox,,,,,,,,,,,52
P. howardii,,,,,,,,,,,54
Toxorhynchites rutilus,,,,,,,,,,,88
Uranotaenia  sapphirina,5,,2,,,,5,16,,,70
U.  lowii,,,,,,,,,,,71
Wyeomyia  mitchellii,,,,,,,,,,,80
W.  vanduzeei,,,,,,,,,,,82
Other (Cx coronator),,,,,,,,,,,100
