10/24/2012,,,,,,,,,,
mosquito,site1,site2,site3,site4,site5,site6,site7,site8,site9,code
Aedes albopictus,3,,,1,1,,,,4,2
A. aegypti,,,,,,,,,,3
A. vexans,,,,,,,,,,1
Ochlerotatus atlanticus,1,,12,,,14,,1,31,9
O. dupreei,,,,,,,,,,18
O. fulvus pallens,,,,,,,,,,8
O. infirmatus,12,3,,19,8,51,1,,3,7
O.  mitchellae,,,,,,,,,,6
O. solicitans,,,,,,,,,,15
O.  taeniorhynchus,,,,,,,,,,5
O.  triseriatus,,,,,,,,,,14
Anopheles crucians,,,1,,,9,,3,,34
A. quadrimaculatus,,,,,,,,,,31
Culex  erraticus,3,,8,1,5,12,,2,16,25
C. nigrapalpus,31,5,39,41,,3,19,,9,42
C.  quinquefasciatus,,,,,,,,,,27
C. restuans,,,,,,,,,,21
C.  salinarius,,,,,,,,,,23
Culiseta  inornata,,,,,,,,,,40
Culiseta  melanura,,,,,,,,,,41
Coquillettidia  perturbans,,,,,,,,,,60
Mansonia  titillans,,,,,,,,,,47
M. dyari,,,,,,,,,,48
Psorophora  ciliata,,,,,,,,,,51
P. columbiae,,,,,,,,,,50
P. ferox,,,,,,,,,,52
P. howardii,,,,,,,,,,54
Toxorhynchites rutilus,,,,,,,,,,88
Uranotaenia  sapphirina,,,,,,,,,,70
U.  lowii,,,,,,,,,,71
Wyeomyia  mitchellii,,,,,,,,,,80
W.  vanduzeei,,,,,,,,,,82
