7/4/2012,,,,,,,
mosquito,site1,site2,site3,site4,site5,site6,code
Aedes albopictus,,1,1,3,,,2
A. aegypti,,,,,,,3
A. vexans,,,,,,,1
Ochlerotatus atlanticus,5,3,,,,19,9
O. dupreei,,,,,,,18
O. fulvus pallens,,,,,,,8
O. infirmatus,21,15,,,,1,7
O.  mitchellae,,,,,,,6
O. solicitans,,,,,,,15
O.  taeniorhynchus,,,,,,,5
O.  triseriatus,,,,,,,14
Anopheles crucians,7,4,,,,17,34
A. quadrimaculatus,,,,,,,31
Culex  erraticus,12,9,5,9,,31,25
C. nigrapalpus,52,48,12,27,,127,42
C.  quinquefasciatus,,,,,,,27
C. restuans,,,,,,,21
C.  salinarius,,,,,,,23
Culiseta  inornata,,,,,,,40
Culiseta  melanura,,,,,,,41
Coquillettidia  perturbans,12,,,,,,60
Mansonia  titillans,,,,,,,47
M. dyari,,,,,,,48
Psorophora  ciliata,,,,3,,,51
P. columbiae,,,,,,,50
P. ferox,,,,,,,52
P. howardii,,,,,,,54
Toxorhynchites rutilus,,,,,,,88
Uranotaenia  sapphirina,,,,,,,70
U.  lowii,,,,,,,71
Wyeomyia  mitchellii,,,,,,,80
W.  vanduzeei,,,,,,,82
