5/5/2009,,,,,,,
mosquito,site1,site2,site3,site4,site5,site6,code
Aedes albopictus,,,1,,,,2
A. aegypti,,,,,,,3
A. vexans,,,,3,3,19,1
Ochlerotatus atlanticus,6,,3,,6,12,9
O. dupreei,,,,,,,18
O. fulvus pallens,,,,,,,8
O. infirmatus,26,,19,12,39,30,7
O.  mitchellae,,,,,,,6
O. solicitans,,,,,,,15
O.  taeniorhynchus,,,,,,,5
O.  triseriatus,,,,,,,14
Anopheles crucians,8,,3,,2,,34
A. quadrimaculatus,,,,,,,31
Culex  erraticus,3,,1,,,5,25
C. nigrapalpus,,,,,,4,42
C.  quinquefasciatus,,,,,,,27
C. restuans,,,,,,,21
C.  salinarius,,,,,,,23
Culiseta  inornata,,,,,,,40
Culiseta  melanura,2,,,,,5,41
Coquillettidia  perturbans,,,1,,,1,60
Mansonia  titillans,,,,,,,47
M. dyari,,,,,,,48
Psorophora  ciliata,,,,,,,51
P. columbiae,,,,,,,50
P. ferox,,,,2,4,18,52
P. howardii,,,,,,,54
Toxorhynchites rutilus,,,,,,,88
Uranotaenia  sapphirina,,,,,,,70
U.  lowii,,,,,,,71
Wyeomyia  mitchellii,,,,,,,80
W.  vanduzeei,,,,,,,82
