5/6/2014,,,,,,,,,,,
mosquito,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,code
Aedes albopictus,,,,,,,,,,,2
A. aegypti,,,,,,,,,,,3
A. vexans,,,,,,,,,,,1
Ochlerotatus atlanticus,,,,,,,,,,,9
O. dupreei,,,,,,,,,,,18
O. fulvus pallens,,,2,,,,,,,,8
O. infirmatus,8,,3,,,76,,,,18,7
O.  mitchellae,,,,,,,,,,,6
O. sollicitans,,,,,,,,,,,15
O.  taeniorhynchus,,,,,,,,,,,5
O.  triseriatus,,,,,,,,,,,14
Anopheles crucians,208,84,5,1,,168,,368,56,84,34
A. quadrimaculatus,4,12,2,,,,,12,,,31
Culex  erraticus,24,,,,,8,,,72,20,25
C. nigripalpus,32,80,8,,7,12,,32,152,28,42
C.  quinquefasciatus,,,,,,,,,,,27
C. restuans,,,,,,,,,,,21
C.  salinarius,,,,,,,,,,,23
Culiseta  inornata,,,,,,,,,,,40
Culiseta  melanura,60,,,,,16,,,24,,41
Coquillettidia  perturbans,8,52,3,,,44,6,196,300,44,60
Mansonia  titillans,,,,,,,,,,,47
M. dyari,,,,,,,,36,,,48
Psorophora  ciliata,,,,,,,,,,,51
P. columbiae,,,,,,,,,,,50
P. ferox,,,2,2,,12,,4,,6,52
P. howardii,,,,,,,,,,,54
Toxorhynchites rutilus,,,,,,,,,,,88
Uranotaenia  sapphirina,,,,,,,,,,,70
U.  lowii,,,4,,1,,2,,8,,71
Wyeomyia  mitchellii,,,,,,,,,,,80
W.  vanduzeei,,,,,,,,,,,82
Other,,,,,,,,,,,100
