7/19/2012,,,,,,,
mosquito,site1,site2,site3,site4,site5,site6,code
Aedes albopictus,24,,,,,,2
A. aegypti,,,,,,,3
A. vexans,,,,,,,1
Ochlerotatus atlanticus,224,146,115,,248,3904,9
O. dupreei,,,,,,,18
O. fulvus pallens,,,,,,,8
O. infirmatus,112,135,,10,,,7
O.  mitchellae,,,,,,,6
O. solicitans,,,,,,,15
O.  taeniorhynchus,,,,,,,5
O.  triseriatus,,,,,,,14
Anopheles crucians,48,112,37,10,48,640,34
A. quadrimaculatus,,,,,,,31
Culex  erraticus,,14,28,,16,,25
C. nigrapalpus,472,288,437,1138,132,192,42
C.  quinquefasciatus,,,,,,,27
C. restuans,,,,,,,21
C.  salinarius,,,,,,,23
Culiseta  inornata,,,,,,,40
Culiseta  melanura,,,,,,,41
Coquillettidia  perturbans,,,,,,,60
Mansonia  titillans,,,,,,,47
M. dyari,,,,,,,48
Psorophora  ciliata,,,,,,,51
P. columbiae,40,11,14,31,12,64,50
P. ferox,32,,21,,16,256,52
P. howardii,,,,,,,54
Toxorhynchites rutilus,,,,,,,88
Uranotaenia  sapphirina,,,,,,,70
U.  lowii,,,,,,,71
Wyeomyia  mitchellii,,,,,,,80
W.  vanduzeei,,,,,,,82
