6/12/2013,,,,,,,,,,
mosquito,site1,site2,site3,site4,site5,site6,site7,site8,site9,code
Aedes albopictus,,,,,,,,,,2
A. aegypti,,,,,,,,,,3
A. vexans,,,,,,,,,,1
Ochlerotatus atlanticus,69,4,,,,12,,,,9
O. dupreei,,,,,,,,,,18
O. fulvus pallens,,,,,,,,,,8
O. infirmatus,,,,,,9,,4,2,7
O.  mitchellae,,,,,,,,,,6
O. sollicitans,,,,,,,,,,15
O.  taeniorhynchus,,,,,,,,,,5
O.  triseriatus,,,,,,,,,,14
Anopheles crucians,13,7,,1,,4,,56,23,34
A. quadrimaculatus,,1,,,,,,4,,31
Culex  erraticus,5,6,8,,,38,1,,24,25
C. nigripalpus,,,,,2,2,,12,2,42
C.  quinquefasciatus,2,,,,,,,,,27
C. restuans,,,,,,,,,,21
C.  salinarius,,,,,,,,,,23
Culiseta  inornata,,,,,,,,,,40
Culiseta  melanura,3,2,1,,1,,,,4,41
Coquillettidia  perturbans,,,1,,,,,148,3,60
Mansonia  titillans,,,,,,,,,,47
M. dyari,1,,,,,,,220,6,48
Psorophora  ciliata,3,,,,,,,,,51
P. columbiae,5,3,,,1,2,,24,2,50
P. ferox,1,,,,3,29,,,1,52
P. howardii,,,,,,,,,,54
Toxorhynchites rutilus,,,,,,,,,,88
Uranotaenia  sapphirina,,20,,,,,,,,70
U.  lowii,,,,,,,,,,71
Wyeomyia  mitchellii,,,,,,,,,,80
W.  vanduzeei,,,,,,,,,,82
Other,,,,,,,,,,
