"Adults who are sedentary, Non-Hispanic White, 2007",
County,Percent (%)
Alachua,13.7
Baker,28.6
Bay,24
Bradford,30.7
Brevard,21.6
Broward,21.5
Calhoun,37.8
Charlotte,20.3
Citrus,25.5
Clay,24.4
Collier,16.6
Columbia,25.1
DeSoto,29.5
Dixie,23.6
Duval,21.4
Escambia,23.1
Flagler,25.5
Franklin,33.2
Gadsden,27.7
Gilchrist,32.3
Glades,23.1
Gulf,36.9
Hamilton,26
Hardee,32.9
Hendry,32.1
Hernando,23.6
Highlands,27.7
Hillsborough,18.7
Holmes,29.1
Indian River,21.8
Jackson,29.1
Jefferson,25.4
Lafayette,22.3
Lake,22.8
Lee,21.5
Leon,11.5
Levy,28.4
Liberty,21.4
Madison,25.8
Manatee,19.9
Marion,30.7
Martin,16.4
Miami-Dade,21.2
Monroe,23.4
Nassau,25.2
Okaloosa,21.5
Okeechobee,29.7
Orange,17.6
Osceola,26.1
Palm Beach,19.4
Pasco,23.8
Pinellas,21.6
Polk,24.3
Putnam,29.4
Santa Rosa,20.3
Sarasota,16.7
Seminole,18
St. Johns,16.7
St. Lucie,22.9
State Total,21.3
Sumter,31.5
Suwannee,24.2
Taylor,31.2
Union,31.9
Volusia,21.8
Wakulla,21.9
Walton,25
Washington,27.8
